Serial No,Comment,Label
1,School gi project complete toure online log #DigitalFraud 💰 bro,Non Cyber Crime
2,Best channel best channel fraud,Bot Comment
3,Watch till end friends kya 😂,Bot Comment
4,Ningol Chakouba matamda leiringei police #StaySafe yamna,Non Cyber Crime
5,Election discussion asi yamna chatli #GPayScam yamna,Non Cyber Crime
6,Music video asi phajare #UPI,Non Cyber Crime
7,School gi project complete toure police bro,Non Cyber Crime
8,Limited offer hurry hurry link #Manipur,Scam Promotion
9,Movie asi eina nungairi 🙏 lol,Non Cyber Crime
10,Best channel best channel transaction 😂,Bot Comment
11,School gi project complete toure complaint #News,Non Cyber Crime
12,Leikol da function ama leiri complaint #FraudAlert 😱 asap,Non Cyber Crime
13,Fake confirmation screen asi yamna dangerous ni fraud,Cyber Crime
14,OTP piro nattraga account loukhatkani cyber abhi yamna,Cyber Crime
15,Fast approval guaranteed cyber #DigitalFraud 💰 asap,Scam Promotion
16,Ningol Chakouba matamda leiringei bhaiya asap,Non Cyber Crime
17,Weather houjik yamna nungshitri link lol,Non Cyber Crime
18,Watch till end friends phishing #FraudAlert 😢 bro,Bot Comment
19,Movie asi eina nungairi 😨 😂,Non Cyber Crime
20,Numit asi yamna chaoba oirammi shopkeeper 😂,Non Cyber Crime
21,Ei nattraga eigi family gi maphamda masi thoklammi dekho 😳 😂,Cyber Crime
22,Masi fake GPay scam asi yamna khudongchabani news bhai #ScamAlert,Cyber Crime
23,Instant cashback ₹10000 available 🤔 lol,Scam Promotion
24,Receipt ubu ngamde aduga cash piri arrest #UPI,Cyber Crime
25,Instant cashback ₹10000 available #UPI 💸 asap,Scam Promotion
26,Festival preparation touri investigation #CyberCrime bhai,Non Cyber Crime
27,OTP piro nattraga account loukhatkani cash lol,Cyber Crime
28,Account verify touro haibasi suspicious ni cash #FraudAlert 😳,Cyber Crime
29,Link ama click touba matamda careful oiganu complaint 😳,Cyber Crime
30,Music video asi phajare 😂 yamna,Non Cyber Crime
31,Travel photo asi yamna phajabani #StaySafe 🔥,Non Cyber Crime
32,Best channel best channel bank,Bot Comment
33,GPay issue solve tougani inbox now UPI #StaySafe 😳,Scam Promotion
34,Link click touro reward phanggani cash asap,Scam Promotion
35,Festival preparation touri transaction 🔥,Non Cyber Crime
36,Customer support WhatsApp touro jaldi 💸 yamna,Scam Promotion
37,Important update friends #Churachandpur bro,Bot Comment
38,Numit asi yamna chaoba oirammi #GPayScam 😂,Non Cyber Crime
39,Link ama click touba matamda careful oiganu fake 🔥,Cyber Crime
